feature,unique,between_group_mean_std
PoolQC,3,143695.53944995572
ExterQual,4,112627.0888296388
KitchenQual,4,98372.95700193154
BsmtQual,4,88445.26450072418
Condition2,8,80240.38494649145
FireplaceQu,5,68161.0798279019
Neighborhood,25,65156.0452019458
RoofMatl,7,62054.640235721534
BsmtCond,4,60624.66173501892
Exterior2nd,16,60432.517221033784
GarageFinish,3,60376.859114226354
GarageQual,5,58341.16472363153
CentralAir,2,56845.639932412014
SaleCondition,6,56322.25772177194
MiscFeature,4,55742.238239321494
Exterior1st,15,55729.26298733803
SaleType,9,54622.800485661406
BsmtExposure,4,53583.80585231943
ExterCond,5,53073.07334232589
GarageType,6,52438.46810984032
MasVnrType,3,50744.31925009818
MSZoning,5,50703.19890740113
Heating,6,47245.0708482534
HeatingQC,5,47125.99498586153
LandContour,4,42718.74759333986
Foundation,6,41012.38835743304
HouseStyle,8,40533.67454015271
BsmtFinType1,6,38835.029856257395
Electrical,4,38486.97193671431
GarageCond,5,36465.266464590444
PavedDrive,3,35429.155095417016
Condition1,9,35115.44585708971
BsmtFinType2,6,34147.67141621202
LotShape,4,32151.865061822416
Utilities,2,31097.987279200006
Alley,2,31039.537941456507
Functional,7,29938.38416280529
BldgType,5,28362.808620457734
RoofStyle,6,27887.490373273777
Fence,4,24005.90128889914
LotConfig,5,23198.079330552053
LandSlope,3,22689.620972476045
Street,2,14477.416621823095
