,dtype,unique,missing
Id,int64,1168,0
MSSubClass,int64,15,0
MSZoning,str,5,0
LotFrontage,float64,107,217
LotArea,int64,890,0
Street,str,2,0
Alley,str,2,1094
LotShape,str,4,0
LandContour,str,4,0
Utilities,str,2,0
LotConfig,str,5,0
LandSlope,str,3,0
Neighborhood,str,25,0
Condition1,str,9,0
Condition2,str,8,0
BldgType,str,5,0
HouseStyle,str,8,0
OverallQual,int64,10,0
OverallCond,int64,9,0
YearBuilt,int64,111,0
YearRemodAdd,int64,61,0
RoofStyle,str,6,0
RoofMatl,str,7,0
Exterior1st,str,15,0
Exterior2nd,str,16,0
MasVnrType,str,3,683
MasVnrArea,float64,286,6
ExterQual,str,4,0
ExterCond,str,5,0
Foundation,str,6,0
BsmtQual,str,4,28
BsmtCond,str,4,28
BsmtExposure,str,4,28
BsmtFinType1,str,6,28
BsmtFinSF1,int64,549,0
BsmtFinType2,str,6,28
BsmtFinSF2,int64,118,0
BsmtUnfSF,int64,685,0
TotalBsmtSF,int64,630,0
Heating,str,6,0
HeatingQC,str,5,0
CentralAir,str,2,0
Electrical,str,4,1
1stFlrSF,int64,657,0
2ndFlrSF,int64,361,0
LowQualFinSF,int64,20,0
GrLivArea,int64,734,0
BsmtFullBath,int64,4,0
BsmtHalfBath,int64,3,0
FullBath,int64,4,0
HalfBath,int64,3,0
BedroomAbvGr,int64,8,0
KitchenAbvGr,int64,4,0
KitchenQual,str,4,0
TotRmsAbvGrd,int64,12,0
Functional,str,7,0
Fireplaces,int64,4,0
FireplaceQu,str,5,547
GarageType,str,6,64
GarageYrBlt,float64,94,64
GarageFinish,str,3,64
GarageCars,int64,5,0
GarageArea,int64,394,0
GarageQual,str,5,64
GarageCond,str,5,64
PavedDrive,str,3,0
WoodDeckSF,int64,244,0
OpenPorchSF,int64,188,0
EnclosedPorch,int64,98,0
3SsnPorch,int64,17,0
ScreenPorch,int64,66,0
PoolArea,int64,7,0
PoolQC,str,3,1162
Fence,str,4,935
MiscFeature,str,4,1122
MiscVal,int64,19,0
MoSold,int64,12,0
YrSold,int64,5,0
SaleType,str,9,0
SaleCondition,str,6,0
SalePrice,int64,571,0
