,missing_count,missing_pct
PoolQC,1162,99.48630136986301
MiscFeature,1122,96.06164383561644
Alley,1094,93.66438356164383
Fence,935,80.0513698630137
MasVnrType,683,58.476027397260275
FireplaceQu,547,46.832191780821915
LotFrontage,217,18.57876712328767
GarageType,64,5.47945205479452
GarageYrBlt,64,5.47945205479452
GarageFinish,64,5.47945205479452
GarageQual,64,5.47945205479452
GarageCond,64,5.47945205479452
BsmtFinType1,28,2.3972602739726026
BsmtFinType2,28,2.3972602739726026
BsmtExposure,28,2.3972602739726026
BsmtCond,28,2.3972602739726026
BsmtQual,28,2.3972602739726026
MasVnrArea,6,0.5136986301369862
Electrical,1,0.08561643835616438
