number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_clip_quantile,params_dropout,params_feature_engineering,params_hidden_layers,params_learning_rate,params_min_frequency,params_normalization,params_optimizer,params_scaler,params_skew_threshold,params_target_transform,params_weight_decay,user_attrs_metrics,system_attrs_fixed_params,state
0,1928440.8953599231,2026-08-09 01:45:06.610145,2026-08-09 01:45:09.192266,0 days 00:00:02.582121,gelu,64,0.005,0.007204573003530856,True,128-64,0.0003448178439164303,5.0,none,adam,robust,,log1p,7.27465313566941e-07,"{'train_rmse': 73421.84713234946, 'cv_rmse_mean': 1928440.8953599231, 'cv_rmse_std': 3167689.1212183135, 'best_epoch_median': 17, 'n_features': 295, 'fold_metrics': [{'fold': 0, 'train_rmse': 58901.75648675081, 'val_rmse': 132575.67326374678, 'best_epoch': 9, 'n_features': 295}, {'fold': 1, 'train_rmse': 101999.29576289594, 'val_rmse': 66771.09904315017, 'best_epoch': 29, 'n_features': 296}, {'fold': 2, 'train_rmse': 59364.48914740166, 'val_rmse': 5585975.913772873, 'best_epoch': 17, 'n_features': 295}]}",,COMPLETE
1,29493.760076013234,2026-08-09 01:46:33.137827,2026-08-09 01:46:41.547824,0 days 00:00:08.409997,silu,64,0.01,0.2,True,256-256-128,0.0006,2.0,layer,adamw,robust,0.75,raw,0.0005,"{'train_rmse': 11631.058606473574, 'cv_rmse_mean': 29493.760076013234, 'cv_rmse_std': 4062.710927513838, 'best_epoch_median': 42, 'n_features': 317, 'fold_metrics': [{'fold': 0, 'train_rmse': 11703.133579142512, 'val_rmse': 34138.744228384225, 'best_epoch': 63, 'n_features': 317}, {'fold': 1, 'train_rmse': 11870.44364987072, 'val_rmse': 26602.31128029002, 'best_epoch': 42, 'n_features': 316}, {'fold': 2, 'train_rmse': 11319.598590407491, 'val_rmse': 27740.22471936546, 'best_epoch': 29, 'n_features': 321}]}","{'hidden_layers': '256-256-128', 'activation': 'silu', 'dropout': 0.2, 'normalization': 'layer', 'learning_rate': 0.0006, 'weight_decay': 0.0005, 'batch_size': 64, 'optimizer': 'adamw', 'target_transform': 'raw', 'scaler': 'robust', 'skew_threshold': 0.75, 'clip_quantile': 0.01, 'min_frequency': 2, 'feature_engineering': True}",COMPLETE
2,68668.2409763364,2026-08-09 01:46:41.683291,2026-08-09 01:46:45.963778,0 days 00:00:04.280487,gelu,64,0.005,0.007204573003530856,True,128-64,0.0003448178439164303,5.0,none,adam,robust,,log1p,7.27465313566941e-07,"{'train_rmse': 44732.488664624536, 'cv_rmse_mean': 68668.2409763364, 'cv_rmse_std': 1695.1046116550033, 'best_epoch_median': 29, 'n_features': 295, 'fold_metrics': [{'fold': 0, 'train_rmse': 48845.30132539172, 'val_rmse': 69199.65608660737, 'best_epoch': 19, 'n_features': 295}, {'fold': 1, 'train_rmse': 58889.5350533948, 'val_rmse': 66771.09904315017, 'best_epoch': 29, 'n_features': 296}, {'fold': 2, 'train_rmse': 26462.629615087077, 'val_rmse': 70033.96779925167, 'best_epoch': 120, 'n_features': 295}]}",,COMPLETE
3,35689.8830887469,2026-08-09 01:46:46.083212,2026-08-09 01:46:49.242095,0 days 00:00:03.158883,relu,128,0.005,0.18202380741223378,False,128-64,0.0020393935878342973,,batch,adam,standard,,log1p,0.0025982285195767798,"{'train_rmse': 14544.217591681392, 'cv_rmse_mean': 35689.8830887469, 'cv_rmse_std': 6316.292381492479, 'best_epoch_median': 20, 'n_features': 316, 'fold_metrics': [{'fold': 0, 'train_rmse': 17273.650679757346, 'val_rmse': 40963.10949035955, 'best_epoch': 11, 'n_features': 316}, {'fold': 1, 'train_rmse': 18157.09003699655, 'val_rmse': 37416.79620692863, 'best_epoch': 20, 'n_features': 315}, {'fold': 2, 'train_rmse': 8201.912058290285, 'val_rmse': 28689.743568952526, 'best_epoch': 60, 'n_features': 316}]}",,COMPLETE
4,31780.561118978196,2026-08-09 01:46:49.372407,2026-08-09 01:46:51.751010,0 days 00:00:02.378603,relu,128,0.005,0.10884381260048176,False,256-128-64,0.002853122287275587,2.0,layer,adam,standard,0.75,log1p,1.655479354137316e-05,"{'train_rmse': 25102.743560054503, 'cv_rmse_mean': 31780.561118978196, 'cv_rmse_std': 5060.980110514037, 'best_epoch_median': 8, 'n_features': 305, 'fold_metrics': [{'fold': 0, 'train_rmse': 23102.441232048808, 'val_rmse': 37620.91954778052, 'best_epoch': 7, 'n_features': 305}, {'fold': 1, 'train_rmse': 25131.401364306083, 'val_rmse': 28683.804028395134, 'best_epoch': 8, 'n_features': 304}, {'fold': 2, 'train_rmse': 27074.388083808622, 'val_rmse': 29036.95978075893, 'best_epoch': 9, 'n_features': 309}]}",,COMPLETE
5,31826.46622789494,2026-08-09 01:46:51.878031,2026-08-09 01:46:56.853163,0 days 00:00:04.975132,gelu,32,,0.3136319549732226,True,128-64,0.0007189687928424476,,none,adamw,standard,1.0,log1p,0.0006979540765301023,"{'train_rmse': 15835.91646328655, 'cv_rmse_mean': 31826.46622789494, 'cv_rmse_std': 8461.08345987406, 'best_epoch_median': 26, 'n_features': 328, 'fold_metrics': [{'fold': 0, 'train_rmse': 18468.03195454804, 'val_rmse': 41299.78882558492, 'best_epoch': 12, 'n_features': 328}, {'fold': 1, 'train_rmse': 14478.470767448216, 'val_rmse': 25020.4928368254, 'best_epoch': 48, 'n_features': 327}, {'fold': 2, 'train_rmse': 14561.246667863394, 'val_rmse': 29159.117021274513, 'best_epoch': 26, 'n_features': 328}]}",,COMPLETE
6,30105.25968848869,2026-08-09 01:46:56.977632,2026-08-09 01:47:01.213412,0 days 00:00:04.235780,relu,64,0.005,0.08317314039733988,True,256-128-64,0.00133435427853514,5.0,none,adamw,robust,1.0,log1p,3.292980580269876e-05,"{'train_rmse': 9040.295246107655, 'cv_rmse_mean': 30105.25968848869, 'cv_rmse_std': 5986.508001030781, 'best_epoch_median': 33, 'n_features': 295, 'fold_metrics': [{'fold': 0, 'train_rmse': 13586.717908588493, 'val_rmse': 37005.43770678893, 'best_epoch': 9, 'n_features': 295}, {'fold': 1, 'train_rmse': 5197.835347856702, 'val_rmse': 26296.094735797076, 'best_epoch': 56, 'n_features': 296}, {'fold': 2, 'train_rmse': 8336.33248187777, 'val_rmse': 27014.24662288007, 'best_epoch': 33, 'n_features': 295}]}",,COMPLETE
7,30450.44550314566,2026-08-09 01:47:01.341450,2026-08-09 01:47:03.828971,0 days 00:00:02.487521,gelu,128,,0.1222233511144313,True,128-64,0.002068575962357198,5.0,layer,adamw,robust,0.5,log1p,0.00010396506923366887,"{'train_rmse': 15934.92780903209, 'cv_rmse_mean': 30450.44550314566, 'cv_rmse_std': 6051.076506109964, 'best_epoch_median': 13, 'n_features': 295, 'fold_metrics': [{'fold': 0, 'train_rmse': 17343.67857656627, 'val_rmse': 37432.122135395206, 'best_epoch': 13, 'n_features': 295}, {'fold': 1, 'train_rmse': 8975.707482327101, 'val_rmse': 26719.460492641287, 'best_epoch': 43, 'n_features': 296}, {'fold': 2, 'train_rmse': 21485.397368202895, 'val_rmse': 27199.753881400487, 'best_epoch': 11, 'n_features': 295}]}",,COMPLETE
8,38550.98324482037,2026-08-09 01:47:03.959130,2026-08-09 01:47:09.851567,0 days 00:00:05.892437,relu,128,0.005,0.2019163596192257,True,256-256-128,0.00046379200852244786,5.0,batch,adamw,standard,,raw,1.300948177036055e-07,,,PRUNED
9,36357.67819302395,2026-08-09 01:47:10.029815,2026-08-09 01:47:14.566988,0 days 00:00:04.537173,relu,64,0.005,0.10275714549257267,False,256-128-64,0.0030844898665397785,2.0,batch,adam,standard,,raw,2.5280321584403667e-05,,,PRUNED
