experiment_id,timestamp,kind,seed,features,preprocessing,target_transform,architecture,activation,normalization,optimizer,learning_rate,weight_decay,dropout,batch_size,epochs,early_stopping,train_rmse,validation_rmse,cv_rmse_mean,cv_rmse_std,holdout_rmse,n_features,notes
baseline_raw,2026-08-10T18:34:54.503803+00:00,exploratory,42,original,"{""clip_quantile"": null, ""feature_engineering"": false, ""min_frequency"": null, ""scaler"": ""standard"", ""skew_threshold"": null}",raw,128-64,relu,none,adam,0.001,1e-05,0.0,64,25,True,11179.023105791688,36873.48966522898,36873.48966522898,4832.589563012778,,316,
baseline_log,2026-08-10T18:34:56.404515+00:00,exploratory,42,original,"{""clip_quantile"": null, ""feature_engineering"": false, ""min_frequency"": null, ""scaler"": ""standard"", ""skew_threshold"": 0.75}",log1p,128-64,relu,none,adam,0.001,1e-05,0.0,64,8,True,18761.109265930932,44354.447585689864,44354.447585689864,15335.617324971905,,316,
feature_engineered,2026-08-10T18:35:01.178519+00:00,exploratory,42,engineered,"{""clip_quantile"": 0.005, ""feature_engineering"": true, ""min_frequency"": 2, ""scaler"": ""standard"", ""skew_threshold"": 0.75}",raw,256-128-64,gelu,layer,adamw,0.0008,0.0001,0.1,64,5,True,18893.154002488376,32301.77927979578,32301.77927979578,7102.0376542784115,,317,
deep_low_regularization,2026-08-10T18:35:12.064059+00:00,exploratory,42,engineered,"{""clip_quantile"": null, ""feature_engineering"": true, ""min_frequency"": null, ""scaler"": ""standard"", ""skew_threshold"": 0.75}",raw,512-256-128-64,relu,none,adam,0.001,1e-07,0.0,32,22,True,8020.837140959418,33962.784623624335,33962.784623624335,7724.622055210741,,328,
robust_regularized,2026-08-10T18:35:21.523607+00:00,exploratory,42,engineered,"{""clip_quantile"": 0.01, ""feature_engineering"": true, ""min_frequency"": 2, ""scaler"": ""robust"", ""skew_threshold"": 0.75}",raw,256-256-128,silu,layer,adamw,0.0006,0.0005,0.2,64,42,True,11631.058606473574,29493.760076013234,29493.760076013234,4062.710927513838,,317,
optuna_000,2026-08-10T18:35:31.832064+00:00,optuna,42,engineered,"{""clip_quantile"": 0.005, ""feature_engineering"": true, ""min_frequency"": 5, ""scaler"": ""robust"", ""skew_threshold"": null}",log1p,128-64,gelu,none,adam,0.0003448178439164303,7.27465313566941e-07,0.007204573003530856,64,17,True,73421.84713234946,1928440.8953599231,1928440.8953599231,3167689.1212183135,,295,
optuna_001,2026-08-10T18:35:31.832121+00:00,optuna,42,engineered,"{""clip_quantile"": 0.01, ""feature_engineering"": true, ""min_frequency"": 2, ""scaler"": ""robust"", ""skew_threshold"": 0.75}",raw,256-256-128,silu,layer,adamw,0.0006,0.0005,0.2,64,42,True,11631.058606473574,29493.760076013234,29493.760076013234,4062.710927513838,,317,
optuna_002,2026-08-10T18:35:31.832139+00:00,optuna,42,engineered,"{""clip_quantile"": 0.005, ""feature_engineering"": true, ""min_frequency"": 5, ""scaler"": ""robust"", ""skew_threshold"": null}",log1p,128-64,gelu,none,adam,0.0003448178439164303,7.27465313566941e-07,0.007204573003530856,64,29,True,44732.488664624536,68668.2409763364,68668.2409763364,1695.1046116550033,,295,
optuna_003,2026-08-10T18:35:31.832151+00:00,optuna,42,original,"{""clip_quantile"": 0.005, ""feature_engineering"": false, ""min_frequency"": null, ""scaler"": ""standard"", ""skew_threshold"": null}",log1p,128-64,relu,batch,adam,0.0020393935878342973,0.0025982285195767798,0.18202380741223378,128,20,True,14544.217591681392,35689.8830887469,35689.8830887469,6316.292381492479,,316,
optuna_004,2026-08-10T18:35:31.832163+00:00,optuna,42,original,"{""clip_quantile"": 0.005, ""feature_engineering"": false, ""min_frequency"": 2, ""scaler"": ""standard"", ""skew_threshold"": 0.75}",log1p,256-128-64,relu,layer,adam,0.002853122287275587,1.655479354137316e-05,0.10884381260048176,128,8,True,25102.743560054503,31780.561118978196,31780.561118978196,5060.980110514037,,305,
optuna_005,2026-08-10T18:35:31.832173+00:00,optuna,42,engineered,"{""clip_quantile"": null, ""feature_engineering"": true, ""min_frequency"": null, ""scaler"": ""standard"", ""skew_threshold"": 1.0}",log1p,128-64,gelu,none,adamw,0.0007189687928424476,0.0006979540765301023,0.3136319549732226,32,26,True,15835.91646328655,31826.46622789494,31826.46622789494,8461.08345987406,,328,
optuna_006,2026-08-10T18:35:31.832183+00:00,optuna,42,engineered,"{""clip_quantile"": 0.005, ""feature_engineering"": true, ""min_frequency"": 5, ""scaler"": ""robust"", ""skew_threshold"": 1.0}",log1p,256-128-64,relu,none,adamw,0.00133435427853514,3.292980580269876e-05,0.08317314039733988,64,33,True,9040.295246107655,30105.25968848869,30105.25968848869,5986.508001030781,,295,
optuna_007,2026-08-10T18:35:31.832193+00:00,optuna,42,engineered,"{""clip_quantile"": null, ""feature_engineering"": true, ""min_frequency"": 5, ""scaler"": ""robust"", ""skew_threshold"": 0.5}",log1p,128-64,gelu,layer,adamw,0.002068575962357198,0.00010396506923366887,0.1222233511144313,128,13,True,15934.92780903209,30450.44550314566,30450.44550314566,6051.076506109964,,295,
optuna_010,2026-08-10T18:35:31.832204+00:00,optuna,42,original,"{""clip_quantile"": 0.01, ""feature_engineering"": false, ""min_frequency"": 2, ""scaler"": ""robust"", ""skew_threshold"": 1.0}",log1p,256-256-128,relu,layer,adamw,0.0005797172199579853,0.0004546693477183974,0.2499910572328767,64,24,True,18413.57617807454,29431.62506283357,29431.62506283357,4873.464426589128,,305,
optuna_011,2026-08-10T18:35:31.832214+00:00,optuna,42,engineered,"{""clip_quantile"": 0.01, ""feature_engineering"": true, ""min_frequency"": 5, ""scaler"": ""robust"", ""skew_threshold"": 0.75}",raw,512-256-128-64,silu,layer,adamw,0.0004132481726241854,0.004627236898110598,0.16733933007506518,64,19,True,17290.374858826526,29063.825667633788,29063.825667633788,5959.610010996994,,295,
optuna_013,2026-08-10T18:35:31.832224+00:00,optuna,42,engineered,"{""clip_quantile"": 0.01, ""feature_engineering"": true, ""min_frequency"": 5, ""scaler"": ""robust"", ""skew_threshold"": 0.75}",raw,512-256-128-64,gelu,none,adam,0.00032443963652860884,0.0008081506814677419,0.16676482466181716,64,35,True,12301.39266570056,28864.74140871321,28864.74140871321,5630.640638606236,,295,
optuna_014,2026-08-10T18:35:31.832233+00:00,optuna,42,original,"{""clip_quantile"": 0.01, ""feature_engineering"": false, ""min_frequency"": 5, ""scaler"": ""robust"", ""skew_threshold"": 0.5}",raw,512-256-128-64,gelu,none,adam,0.00023423045738371707,0.0006938041372205469,0.13980692859483204,64,44,True,10369.628173716563,29289.680118501,29289.680118501,5108.519611940177,,283,
confirm_optuna_winner,2026-08-10T18:35:52.229526+00:00,confirmatory,42,engineered,"{""clip_quantile"": 0.01, ""feature_engineering"": true, ""min_frequency"": 5, ""scaler"": ""robust"", ""skew_threshold"": 0.75}",raw,512-256-128-64,gelu,none,adam,0.00032443963652860884,0.0008081506814677419,0.16676482466181716,64,37,True,12786.094687261557,26847.57348904814,26847.57348904814,3545.485225635931,,300,Compared before examining the internal holdout
